date,house_price,rent_index,gdp_real,unemployment,long_rate,population,inflation_yoy,pop_growth_yoy,price_ret,rent_ret,price_ret_lag_1,rent_ret_lag_1,price_ret_lag_2,rent_ret_lag_2,price_ret_lag_4,rent_ret_lag_4,price_roll_mean_4,price_roll_vol_4,price_momentum_4q,price_to_rent,price_to_rent_chg,gdp_growth,unemp_chg,long_rate_chg,real_rate,q_sin,q_cos,target_price_price_next,target_price_return_next,target_price_direction,target_rent_price_next,target_rent_return_next,target_rent_direction
2006-04-01,83.5,89.7,693220.3,10.200000000000001,3.936666666666667,82348931.25,2.1534847298355198,-0.1179533131609567,0.0036057692307691624,0.003355704697986628,0.014634146341463428,0.0033670033670032407,-0.028436018957346043,0.0018740629685158883,-0.017814726840855055,0.003013182674199699,0.002590030985644254,0.02184408710958011,0.0096735187424426,0.9308807134894092,0.00024922819655248674,0.01712496595988422,-0.33333333333333215,0.4600000000000004,1.7831819368311472,1.2246467991473532e-16,-1.0,82.3,-0.014371257485029987,0,89.89999999999999,0.0022296544035673715,1
2006-07-01,82.3,89.89999999999999,698460.6,9.9,3.8800000000000003,82321411.5,1.5903801396431216,-0.12317566482237252,-0.014371257485029987,0.0022296544035673715,0.0036057692307691624,0.003355704697986628,0.014634146341463428,0.0033670033670032407,0.02055622732769047,0.0018775816748028973,-0.00614184021753586,0.019073639940168207,-0.024881516587677788,0.9154616240266964,-0.016563979937788464,0.007559357393313482,-0.3000000000000007,-0.05666666666666664,2.2896198603568787,-1.0,-1.8369701987210297e-16,83.0,0.008505467800729027,1,90.06666666666666,0.0018539117538005634,1
2006-10-01,83.0,90.06666666666666,708702.8,9.566666666666666,3.7566666666666664,82293891.75,1.3152804642166283,-0.1284009626552729,0.008505467800729027,0.0018539117538005634,-0.014371257485029987,0.0022296544035673715,0.0036057692307691624,0.003355704697986628,-0.028436018957346043,0.0018740629685158883,0.0030935314719829077,0.012486740797429926,0.012195121951219523,0.9215396002960771,0.006639247468011256,0.0146639624339584,-0.3333333333333339,-0.12333333333333396,2.441386202450038,-2.4492935982947064e-16,1.0,80.0,-0.03614457831325302,0,90.3,0.002590673575129543,1
2007-01-01,80.0,90.3,709635.9,9.066666666666666,4.003333333333333,82266372.0,1.853281853281863,-0.1336292091534741,-0.03614457831325302,0.002590673575129543,0.008505467800729027,0.0018539117538005634,-0.014371257485029987,0.0022296544035673715,0.014634146341463428,0.0033670033670032407,-0.009601149691696204,0.020244998030701136,-0.03846153846153855,0.8859357696567,-0.038635160798231705,0.0013166308923853176,-0.5,0.2466666666666666,2.15005148005147,1.0,6.123233995736766e-17,81.7,0.02124999999999999,1,90.56666666666666,0.0029531192321889943,1
2007-04-01,81.7,90.56666666666666,714320.3,8.6,4.33,82227303.25,1.9931008049061116,-0.1476983345791716,0.02124999999999999,0.0029531192321889943,-0.03614457831325302,0.002590673575129543,0.008505467800729027,0.0018539117538005634,0.0036057692307691624,0.003355704697986628,-0.005190091999388496,0.025358238935992664,-0.021556886227544925,0.9020979020979022,0.01824300699300707,0.006601131650752157,-0.4666666666666668,0.3266666666666671,2.3368991950938884,1.2246467991473532e-16,-1.0,81.6,-0.001223990208078396,0,90.76666666666667,0.0022083179977916423,1
2007-07-01,81.6,90.76666666666667,717972.4,8.433333333333334,4.34,82188234.5,2.2145857197403584,-0.16177686652032452,-0.001223990208078396,0.0022083179977916423,0.02124999999999999,0.0029531192321889943,-0.03614457831325302,0.002590673575129543,-0.014371257485029987,0.0022296544035673715,-0.0019032751801505987,0.024612627858723802,-0.008505467800729027,0.8990084465662871,-0.0034247452792321997,0.005112692443431932,-0.16666666666666607,0.009999999999999787,2.1254142802596414,-1.0,-1.8369701987210297e-16,81.6,0.0,0,90.96666666666665,0.0022034520749172337,1
2007-10-01,81.6,90.96666666666665,723292.0,8.200000000000001,4.193333333333333,82149165.75,3.016418480336003,-0.175864814413762,0.0,0.0022034520749172337,-0.001223990208078396,0.0022083179977916423,0.02124999999999999,0.0029531192321889943,0.008505467800729027,0.0018539117538005634,-0.0040296421303328556,0.023766496941970913,-0.01686746987951815,0.8970318798094541,-0.0021986075485523893,0.007409198459439326,-0.2333333333333325,-0.1466666666666665,1.1769148529973306,-2.4492935982947064e-16,1.0,82.8,0.014705882352941124,1,91.3,0.003664345914254463,1
2008-01-01,82.8,91.3,727540.1,7.8999999999999995,3.926666666666667,82110097.0,3.0705079605761743,-0.18996218770896967,0.014705882352941124,0.003664345914254463,0.0,0.0022034520749172337,-0.001223990208078396,0.0022083179977916423,-0.03614457831325302,0.002590673575129543,0.00868297303621568,0.011071698828054389,0.03499999999999992,0.9069003285870756,0.011001224147928479,0.005873284925037137,-0.3000000000000016,-0.26666666666666616,0.8561587060904929,1.0,6.123233995736766e-17,83.1,0.0036231884057971175,1,91.60000000000001,0.0032858707557503752,1
2008-04-01,83.1,91.60000000000001,724919.9,7.533333333333334,4.253333333333333,82058149.5,3.0439684329199412,-0.2057148213723048,0.0036231884057971175,0.0032858707557503752,0.014705882352941124,0.003664345914254463,0.0,0.0022034520749172337,0.02124999999999999,0.0029531192321889943,0.0042762701376649614,0.007251268322870133,0.017135862913096656,0.9072052401746723,0.00033621289791763154,-0.0036014509715683873,-0.36666666666666536,0.3266666666666658,1.2093649004133917,1.2246467991473532e-16,-1.0,81.6,-0.018050541516245522,0,91.86666666666667,0.0029112081513829047,1
2008-07-01,81.6,91.86666666666667,720949.9,7.133333333333333,4.260000000000001,82006202.0,3.212551363466565,-0.22148243128400358,-0.018050541516245522,0.0029112081513829047,0.0036231884057971175,0.0032858707557503752,0.014705882352941124,0.003664345914254463,-0.001223990208078396,0.0022083179977916423,6.963231062317998e-05,0.013603836767586568,0.0,0.8882438316400579,-0.02090090278905743,-0.005476467124160944,-0.40000000000000124,0.006666666666667709,1.047448636533436,-1.0,-1.8369701987210297e-16,81.8,0.002450980392156854,1,92.13333333333333,0.002902757619738683,1
