date,house_price,rent_index,gdp_real,unemployment,long_rate,population,inflation_yoy,pop_growth_yoy
2005-01-01,84.2,88.5,662274.9,10.833333333333334,3.6,82469422.0,1.7642341619887647,-0.05676214603037577
2005-04-01,82.7,88.76666666666667,666244.9,11.199999999999998,3.3033333333333332,82446179.25,1.5506958250497194,-0.07074912795264066
2005-07-01,84.4,88.93333333333334,671485.3,11.166666666666666,3.1666666666666665,82422936.5,2.1394611727416857,-0.08474008065741945
2005-10-01,82.0,89.10000000000001,674026.1,10.866666666666667,3.3433333333333337,82399693.75,2.2547468354430444,-0.09873500583584827
2006-01-01,83.2,89.39999999999999,681548.8,10.533333333333333,3.4766666666666666,82376451.0,2.048857368006285,-0.11273390518002913
2006-04-01,83.5,89.7,693220.3,10.200000000000001,3.936666666666667,82348931.25,2.1534847298355198,-0.1179533131609567
2006-07-01,82.3,89.89999999999999,698460.6,9.9,3.8800000000000003,82321411.5,1.5903801396431216,-0.12317566482237252
2006-10-01,83.0,90.06666666666666,708702.8,9.566666666666666,3.7566666666666664,82293891.75,1.3152804642166283,-0.1284009626552729
2007-01-01,80.0,90.3,709635.9,9.066666666666666,4.003333333333333,82266372.0,1.853281853281863,-0.1336292091534741
2007-04-01,81.7,90.56666666666666,714320.3,8.6,4.33,82227303.25,1.9931008049061116,-0.1476983345791716
2007-07-01,81.6,90.76666666666667,717972.4,8.433333333333334,4.34,82188234.5,2.2145857197403584,-0.16177686652032452
2007-10-01,81.6,90.96666666666665,723292.0,8.200000000000001,4.193333333333333,82149165.75,3.016418480336003,-0.175864814413762
2008-01-01,82.8,91.3,727540.1,7.8999999999999995,3.926666666666667,82110097.0,3.0705079605761743,-0.18996218770896967
2008-04-01,83.1,91.60000000000001,724919.9,7.533333333333334,4.253333333333333,82058149.5,3.0439684329199412,-0.2057148213723048
2008-07-01,81.6,91.86666666666667,720949.9,7.133333333333333,4.260000000000001,82006202.0,3.212551363466565,-0.22148243128400358
2008-10-01,81.8,92.13333333333333,709754.6,7.033333333333334,3.4966666666666666,81954254.5,1.7049666419569842,-0.23726503881142946
2009-01-01,81.8,92.36666666666667,676487.1,7.2,3.073333333333333,81902307.0,0.8091210003678073,-0.25306266536258004
2009-04-01,83.1,92.63333333333333,678154.5,7.466666666666666,3.3233333333333337,81870962.75,0.18234865061999006,-0.22811475903438128
2009-07-01,82.9,92.83333333333333,682362.7,7.533333333333334,3.3033333333333332,81839618.5,-0.3619254433586794,-0.20313524579519404
2009-10-01,84.2,93.06666666666666,687603.1,7.266666666666667,3.19,81808274.25,0.36443148688047877,-0.17812406554195137
2010-01-01,83.0,93.36666666666667,692604.6,7.0,3.1766666666666663,81776930.0,0.7661437431594198,-0.15308115801915267
2010-04-01,84.3,93.63333333333333,707611.1,6.7,2.776666666666667,81401443.25,1.0192937750272968,-0.5734872099082522
2010-07-01,84.3,93.89999999999999,714439.5,6.433333333333334,2.4233333333333333,81025956.5,1.126044315292396,-0.9942152895055401
2010-10-01,83.8,94.13333333333333,719124.1,6.2,2.5966666666666667,80650469.75,1.5613652868554873,-1.4152657669587732
2011-01-01,86.1,94.5,732125.2,5.866666666666667,3.143333333333333,80274983.0,2.208544532947143,-1.8366390129832433
2011-04-01,87.1,94.8,734110.1,5.566666666666666,3.0966666666666662,80312693.0,2.522522522522519,-1.337507305191421
2011-07-01,86.7,95.10000000000001,738080.0,5.433333333333334,2.2600000000000002,80350403.0,2.6221264367816133,-0.8337494911275778
2011-10-01,87.3,95.36666666666667,738000.6,5.233333333333333,1.9333333333333333,80388113.0,2.5741866285305504,-0.32530095709703
2012-01-01,88.0,95.66666666666667,739568.7,5.1,1.8333333333333333,80425823.0,2.4087849805171757,0.18790411951878916
2012-04-01,89.1,95.89999999999999,740362.6,5.1,1.42,80480768.5,2.073813708260097,0.20927638424477202
2012-07-01,90.4,96.2,741871.1,5.033333333333333,1.3566666666666667,80535714.0,2.135106755337768,0.23062858813538423
2012-10-01,91.6,96.43333333333334,739648.1,5.0,1.37,80590659.5,2.0216103171836863,0.2519607594222206
2013-01-01,91.3,96.8,735558.8,5.066666666666666,1.4666666666666668,80645605.0,1.8332756831546115,0.2732729262838962
2013-04-01,93.1,97.10000000000001,744134.0,4.966666666666667,1.3399999999999999,80729828.75,1.5495867768595017,0.3094655464180862
