model,MAE,RMSE,MAPE_pct,R2,ret_MAE,ret_RMSE,dir_acc
Naive (random walk),2.743478260869564,3.3709113720566544,1.7981788113718609,0.8103846280024023,0.018106739876169325,0.022049282200168913,0.0
Linear Regression,2.525478190405082,3.3773929547222656,1.6455531051820915,0.8096547427343179,0.016466804190062308,0.02166062821141072,0.7391304347826086
Ridge,2.531763443272497,3.577684141775353,1.6489481111173956,0.7864090409003536,0.01638818963495367,0.02263943225016688,0.6956521739130435
Random Forest,2.3375299588816065,3.294044105302529,1.5231000474910272,0.8189336722586015,0.015159242248627407,0.020905979309387052,0.6956521739130435
XGBoost,2.211388695758324,3.023776354125538,1.4383270876876708,0.8474268168465859,0.014341871148270225,0.01922210711832737,0.6956521739130435
ARIMA (walk-forward),4.123603620532423,5.6142594676350095,2.700839351128439,0.4740265359413681,,,
