model,accuracy,precision,recall,f1
Naive (majority),0.6956521739130435,0.6956521739130435,1.0,0.8205128205128205
Logistic Regression,0.6521739130434783,0.6818181818181818,0.9375,0.7894736842105263
Random Forest,0.6956521739130435,0.6956521739130435,1.0,0.8205128205128205
XGBoost,0.6956521739130435,0.6956521739130435,1.0,0.8205128205128205
